BOUND,DT,VMIN,VMAX,MARGIN,START,GOAL,OBSTACLES,OPTIMIZE,STATUS,TOTAL STEPS,LENGTH,BUILD TIME (ms),SOLVE TIME (ms),TOTAL TIME (ms),DATA POINTS
268.413,0.991,-1.972,1.972,1.602,"(0.0,0.0,27.378,27.378)","(241.035,241.035,268.413,268.413)","[(160.959,112.109,185.613,136.763),(12.644,3.861,31.33,22.547),(90.365,236.516,116.922,263.073),(239.723,142.925,262.443,165.645),(82.013,0.161,97.621,15.769),(84.115,37.002,104.924,57.811),(117.858,154.74,138.601,175.483),(9.754,203.643,31.764,225.653),(149.527,218.417,163.778,232.668),(191.759,149.492,216.401,174.134),(44.237,129.471,64.566,149.8),(146.053,106.916,168.562,129.425),(105.785,124.168,123.245,141.628)]",TRUE,,,,,,,
730.202,1.867,-4.602,4.602,2.536,"(0.0,0.0,86.164,86.164)","(644.038,644.038,730.202,730.202)","[(616.555,377.381,680.111,440.937),(533.659,183.932,598.884,249.157),(117.307,73.71,182.589,138.992),(494.275,293.238,551.207,350.17),(236.204,174.62,303.983,242.399),(124.038,101.033,191.717,168.712),(57.75,137.538,106.877,186.665),(485.611,138.348,557.059,209.796)]",TRUE,,,,,,,
230.893,0.919,-1.758,1.758,1.623,"(0.0,0.0,20.78,20.78)","(210.113,210.113,230.893,230.893)","[(93.896,160.709,108.369,175.182),(45.875,113.679,60.952,128.756),(34.873,169.956,49.121,184.204),(38.616,162.806,50.861,175.051),(196.77,52.569,219.789,75.588),(52.813,112.819,65.73,125.736),(125.809,196.741,141.166,212.098),(176.98,18.34,190.724,32.084),(177.801,133.351,197.051,152.601),(6.469,156.868,26.967,177.366),(88.659,12.748,105.036,29.125),(94.745,110.314,109.979,125.548)]",TRUE,,,,,,,
313.944,1.077,-2.231,2.231,1.78,"(0.0,0.0,39.871,39.871)","(274.073,274.073,313.944,313.944)","[(223.561,147.947,244.182,168.568),(110.195,37.678,134.945,62.428),(125.327,58.086,148.19,80.949),(114.057,56.396,144.737,87.076),(154.295,41.918,184.342,71.965),(185.669,141.271,216.08,171.682),(38.328,142.681,60.744,165.097),(35.115,266.043,65.127,296.055),(174.097,20.566,198.192,44.661)]",FALSE,,,,,,,
675.39,1.763,-4.29,4.29,2.373,"(0.0,0.0,58.759,58.759)","(616.631,616.631,675.39,675.39)","[(234.271,371.725,301.613,439.067),(503.858,56.846,564.014,117.002),(151.464,507.948,197.473,553.957),(238.275,511.193,296.69,569.608),(562.961,70.978,610.618,118.635),(551.65,488.161,618.7,555.211),(591.913,436.46,653.296,497.843),(549.848,458.347,606.862,515.361),(331.934,225.213,366.752,260.031),(191.094,85.322,249.51,143.738),(574.154,281.121,633.609,340.576),(469.568,336.811,508.065,375.308)]",TRUE,,,,,,,
529.239,1.486,-3.458,3.458,2.173,"(0.0,0.0,39.164,39.164)","(490.075,490.075,529.239,529.239)","[(117.933,412.487,144.629,439.183),(464.409,429.691,513.381,478.663),(470.67,293.066,512.312,334.708),(10.989,347.346,56.731,393.088),(83.035,373.99,125.748,416.703),(444.915,136.024,494.949,186.058),(277.916,302.048,321.406,345.538),(146.932,13.927,196.661,63.656)]",FALSE,,,,,,,
423.05,1.284,-2.853,2.853,2.028,"(0.0,0.0,41.036,41.036)","(382.014,382.014,423.05,423.05)","[(87.868,343.832,116.202,372.166),(100.727,143.552,126.584,169.409),(327.402,306.826,352.014,331.438),(201.334,313.383,238.09,350.139),(319.339,292.985,349.863,323.509),(305.733,94.683,345.023,133.973),(81.722,234.503,110.771,263.552),(104.201,389.359,134.787,419.945),(220.292,360.776,249.691,390.175),(332.015,259.004,365.953,292.942),(228.81,145.721,250.352,167.263),(253.121,165.229,291.881,203.989),(85.305,375.027,113.268,402.99),(253.711,352.472,287.41,386.171)]",FALSE,,,,,,,
131.668,0.731,-1.193,1.193,1.323,"(0.0,0.0,10.138,10.138)","(121.53,121.53,131.668,131.668)","[(60.838,119.322,70.65,129.134),(115.363,52.63,125.018,62.285),(46.924,66.591,53.579,73.246),(108.218,66.159,116.174,74.115),(59.082,116.367,69.118,126.403),(115.247,56.573,125.732,67.058),(67.581,91.335,79.084,102.838),(102.103,110.925,113.658,122.48),(81.53,30.609,93.474,42.553),(103.645,88.422,110.833,95.61)]",TRUE,,,,,,,
216.339,0.892,-1.675,1.675,1.595,"(0.0,0.0,15.36,15.36)","(200.979,200.979,216.339,216.339)","[(93.428,120.566,107.658,134.796),(157.109,132.286,169.086,144.263),(148.748,2.416,164.629,18.297),(52.397,17.115,69.261,33.979),(110.636,174.855,127.276,191.495),(123.84,193.664,139.945,209.769),(169.211,83.115,189.633,103.537),(128.367,180.489,148.783,200.905),(60.505,43.992,76.91,60.397),(151.338,128.945,171.385,148.992),(56.701,134.064,74.732,152.095)]",TRUE,,,,,,,
747.331,1.9,-4.7,4.7,2.411,"(0.0,0.0,85.196,85.196)","(662.135,662.135,747.331,747.331)","[(211.844,4.748,262.996,55.9),(138.354,426.817,200.594,489.057),(195.265,220.384,233.339,258.458),(259.05,96.723,331.088,168.761),(590.467,28.418,654.077,92.028),(543.356,362.655,583.042,402.341),(611.097,407.123,674.867,470.893),(326.319,463.199,374.348,511.228),(529.973,110.211,568.862,149.1)]",TRUE,,,,,,,
338.291,1.123,-2.37,2.37,1.75,"(0.0,0.0,27.402,27.402)","(310.889,310.889,338.291,338.291)","[(32.438,188.678,64.344,220.584),(219.217,254.535,237.884,273.202),(172.979,278.227,193.74,298.988),(110.535,26.273,143.912,59.65),(112.146,94.061,129.746,111.661),(262.999,310.428,287.836,335.265),(160.054,142.197,192.433,174.576),(263.926,172.128,292.205,200.407),(103.491,179.006,131.799,207.314),(183.825,185.651,214.844,216.67),(258.217,308.836,281.88,332.499),(68.261,279.487,99.83,311.056),(107.796,215.526,131.961,239.691),(111.419,297.569,137.954,324.104),(246.207,123.084,276.836,153.713)]",TRUE,,,,,,,
351.479,1.148,-2.445,2.445,1.686,"(0.0,0.0,41.826,41.826)","(309.653,309.653,351.479,351.479)","[(232.841,104.991,266.574,138.724),(42.989,135.257,69.104,161.372),(192.334,92.909,226.981,127.556),(152.086,248.627,172.156,268.697),(98.897,243.087,125.572,269.762),(298.809,101.65,332.959,135.8),(208.537,131.966,238.32,161.749),(125.075,287.347,158.747,321.019),(117.535,20.242,141.275,43.982),(35.14,321.23,59.645,345.735)]",TRUE,,,,,,,
14.69,0.509,-0.527,0.527,1.225,"(0.0,0.0,1.572,1.572)","(13.118,13.118,14.69,14.69)","[(8.125,8.22,9.476,9.571),(5.634,1.311,6.656,2.333),(11.41,0.883,12.304,1.777),(11.505,12.236,12.74,13.471),(1.378,9.957,2.577,11.156),(7.17,0.447,8.511,1.788),(8.323,5.452,9.108,6.237),(2.599,3.932,3.395,4.728),(0.8,7.686,2.078,8.964),(7.678,3.185,8.945,4.452),(0.268,0.501,1.647,1.88),(5.832,11.932,7.129,13.229),(2.286,4.019,3.356,5.089),(12.624,5.946,13.362,6.684),(8.85,6.372,10.315,7.837)]",TRUE,,,,,,,
558.287,1.541,-3.623,3.623,2.078,"(0.0,0.0,82.626,82.626)","(475.661,475.661,558.287,558.287)","[(0.141,304.469,46.02,350.348),(421.866,355.246,450.644,384.024),(68.705,337.62,117.858,386.773),(285.793,480.049,340.766,535.022),(151.092,347.56,181.003,377.471),(281.996,436.933,334.338,489.275),(342.495,312.779,385.228,355.512),(106.683,500.111,144.72,538.148),(409.396,225.692,438.193,254.489),(254.242,98.013,284.75,128.521),(276.989,55.668,308.237,86.916),(291.915,131.53,322.538,162.153),(202.563,238.102,235.189,270.728)]",TRUE,,,,,,,
290.552,1.033,-2.098,2.098,1.735,"(0.0,0.0,26.15,26.15)","(264.402,264.402,290.552,290.552)","[(221.542,32.865,241.78,53.103),(114.358,117.938,129.369,132.949),(254.7,6.087,276.768,28.155),(163.222,236.705,178.765,252.248),(216.609,190.332,233.607,207.33),(118.625,65.837,145.351,92.563),(137.167,160.47,159.467,182.77),(29.463,162.889,56.01,189.436),(266.654,71.439,283.248,88.033)]",FALSE,,,,,,,
249.65,0.955,-1.865,1.865,1.618,"(0.0,0.0,21.22,21.22)","(228.43,228.43,249.65,249.65)","[(207.052,62.705,226.881,82.534),(212.973,124.948,235.072,147.047),(75.096,14.264,95.53,34.698),(228.258,3.282,246.5,21.524),(121.718,138.038,145.494,161.814),(209.245,116.475,231.946,139.176),(186.229,119.699,202.15,135.62),(74.828,31.625,89.196,45.993),(22.561,61.767,39.393,78.599),(13.877,111.759,26.91,124.792)]",TRUE,,,,,,,
226.828,0.912,-1.735,1.735,1.585,"(0.0,0.0,26.539,26.539)","(200.289,200.289,226.828,226.828)","[(72.042,70.761,86.345,85.064),(146.554,75.67,160.334,89.45),(212.146,179.293,226.113,193.26),(195.034,202.678,212.913,220.557),(196.418,7.106,209.561,20.249),(192.363,189.976,208.759,206.372),(106.906,19.512,119.165,31.771),(142.76,152.781,160.272,170.293),(92.31,101.238,114.791,123.719)]",FALSE,,,,,,,
79.297,0.632,-0.895,0.895,1.251,"(0.0,0.0,4.203,4.203)","(75.094,75.094,79.297,79.297)","[(48.882,49.78,55.347,56.245),(6.287,28.415,11.681,33.809),(39.058,66.585,45.852,73.379),(47.52,61.576,54.752,68.808),(45.105,15.758,50.973,21.626),(5.583,59.368,13.289,67.074),(27.22,13.873,33.431,20.084),(18.55,11.969,23.005,16.424),(3.409,30.617,9.051,36.259),(9.213,56.009,15.793,62.589)]",TRUE,,,,,,,
760.248,1.925,-4.774,4.774,2.473,"(0.0,0.0,99.592,99.592)","(660.656,660.656,760.248,760.248)","[(147.805,368.962,204.477,425.634),(245.014,403.674,319.588,478.248),(365.943,704.252,412.739,751.048),(373.334,223.076,429.614,279.356),(560.492,657.419,622.463,719.39),(120.289,605.221,187.282,672.214),(686.815,563.12,742.616,618.921),(632.862,258.066,691.461,316.665),(301.774,506.822,374.451,579.499),(152.598,113.798,214.701,175.901)]",TRUE,,,,,,,
259.546,0.974,-1.921,1.921,1.541,"(0.0,0.0,15.832,15.832)","(243.714,243.714,259.546,259.546)","[(237.321,37.185,253.15,53.014),(173.659,185.836,194.886,207.063),(190.235,26.449,215.587,51.801),(157.459,160.999,180.047,183.587),(158.162,147.019,182.642,171.499),(182.844,170.505,208.342,196.003),(157.299,40.254,174.792,57.747),(44.891,17.946,69.748,42.803),(9.307,168.499,25.886,185.078),(151.463,74.269,170.408,93.214)]",TRUE,,,,,,,
13.957,0.508,-0.523,0.523,1.144,"(0.0,0.0,1.144,1.144)","(12.813,12.813,13.957,13.957)","[(9.927,10.203,11.234,11.51),(4.518,12.059,5.712,13.253),(2.62,3.349,3.422,4.151),(11.937,10.016,13.197,11.276),(8.866,12.675,9.617,13.426),(1.728,4.587,3.007,5.866),(13.049,7.086,13.918,7.955),(4.872,13.021,5.72,13.869),(8.557,7.627,9.589,8.659),(11.572,11.271,12.556,12.255),(7.873,10.665,9.083,11.875)]",FALSE,,,,,,,
707.468,1.824,-4.473,4.473,2.515,"(0.0,0.0,45.278,45.278)","(662.19,662.19,707.468,707.468)","[(233.643,356.851,281.09,404.298),(633.567,301.972,687.252,355.657),(517.033,8.709,581.895,73.571),(617.658,559.047,670.915,612.304),(326.387,374.442,375.739,423.794),(458.009,56.024,499.638,97.653),(484.981,498.485,534.319,547.823),(441.432,346.284,494.208,399.06),(88.939,559.046,131.903,602.01),(476.475,199.314,523.486,246.325),(303.563,346.064,369.096,411.597),(300.875,171.449,337.775,208.349),(105.706,474.774,175.379,544.447),(173.186,583.466,221.189,631.469)]",TRUE,,,,,,,
595.147,1.611,-3.833,3.833,2.165,"(0.0,0.0,42.851,42.851)","(552.296,552.296,595.147,595.147)","[(268.493,412.33,311.379,455.216),(394.074,189.294,448.761,243.981),(431.194,82.005,466.933,117.744),(72.85,412.413,125.072,464.635),(535.865,284.142,567.8,316.077),(234.156,534.101,281.748,581.693),(330.872,99.26,368.277,136.665),(167.64,261.765,197.705,291.83)]",FALSE,,,,,,,
316.798,1.083,-2.248,2.248,1.597,"(0.0,0.0,23.443,23.443)","(293.355,293.355,316.798,316.798)","[(16.862,243.964,47.113,274.215),(78.809,162.178,106.928,190.297),(64.151,171.039,80.254,187.142),(182.073,236.081,201.707,255.715),(186.271,64.924,213.637,92.29),(264.52,199.825,290.333,225.638),(100.579,128.684,117.157,145.262),(152.152,63.451,180.883,92.182),(186.932,123.587,215.026,151.681),(34.306,32.53,58.318,56.542)]",FALSE,,,,,,,
566.945,1.557,-3.672,3.672,2.143,"(0.0,0.0,53.293,53.293)","(513.652,513.652,566.945,566.945)","[(214.446,282.029,270.79,338.373),(170.145,292.969,225.958,348.782),(100.201,270.522,133.931,304.252),(75.603,475.161,119.206,518.764),(325.032,400.886,359.644,435.498),(496.475,169.621,551.278,224.424),(203.756,398.444,258.88,453.568),(21.464,479.782,65.739,524.057),(42.942,408.358,94.26,459.676),(320.438,41.264,369.034,89.86),(381.976,309.987,422.495,350.506),(56.526,101.99,88.175,133.639),(39.652,184.428,68.564,213.34),(221.633,232.836,264.894,276.097),(177.769,296.163,219.029,337.423)]",FALSE,,,,,,,
707.406,1.824,-4.473,4.473,2.477,"(0.0,0.0,55.885,55.885)","(651.521,651.521,707.406,707.406)","[(323.598,259.554,379.863,315.819),(431.967,285.645,478.394,332.072),(530.469,209.596,584.711,263.838),(216.675,33.256,287.252,103.833),(409.23,418.568,451.274,460.612),(224.819,557.475,279.404,612.06),(564.851,537.019,601.402,573.57),(503.256,211.267,551.052,259.063),(55.093,258.086,122.791,325.784),(112.369,266.961,172.615,327.207),(317.118,605.663,357.856,646.401),(66.706,473.054,133.786,540.134),(382.684,453.598,442.477,513.391)]",TRUE,,,,,,,
686.713,1.785,-4.355,4.355,2.404,"(0.0,0.0,98.887,98.887)","(587.826,587.826,686.713,686.713)","[(254.625,367.043,313.006,425.424),(134.607,313.361,192.585,371.339),(506.415,610.807,573.486,677.878),(323.468,1.92,381.719,60.171),(40.057,582.615,93.457,636.015),(324.407,158.851,359.246,193.69),(361.95,119.808,414.043,171.901),(365.002,393.735,405.913,434.646)]",FALSE,,,,,,,
233.809,0.925,-1.775,1.775,1.51,"(0.0,0.0,21.043,21.043)","(212.766,212.766,233.809,233.809)","[(109.895,195.723,128.626,214.454),(212.51,134.484,227.354,149.328),(213.636,132.979,232.076,151.419),(155.777,181.638,168.067,193.928),(33.422,171.616,52.425,190.619),(48.475,83.414,71.129,106.068),(162.176,128.889,181.363,148.076),(141.412,19.931,160.87,39.389),(71.356,164.125,89.774,182.543)]",TRUE,,,,,,,
493.73,1.418,-3.255,3.255,2.097,"(0.0,0.0,35.055,35.055)","(458.675,458.675,493.73,493.73)","[(241.103,195.072,279.74,233.709),(296.325,135.929,340.889,180.493),(355.703,229.308,382.518,256.123),(30.191,64.635,66.688,101.132),(397.847,146.814,440.784,189.751),(216.809,375.756,245.692,404.639),(125.152,88.317,162.088,125.253),(184.777,93.258,219.315,127.796)]",FALSE,,,,,,,
218.174,0.895,-1.686,1.686,1.621,"(0.0,0.0,26.617,26.617)","(191.557,191.557,218.174,218.174)","[(123.82,45.135,140.076,61.391),(15.425,184.925,36.916,206.416),(10.329,36.166,24.803,50.64),(174.947,47.458,186.202,58.713),(135.225,105.504,154.935,125.214),(142.49,162.434,161.049,180.993),(199.886,16.912,217.839,34.865),(129.517,35.362,140.499,46.344),(99.224,67.51,115.874,84.16),(120.04,136.942,131.629,148.531),(172.329,61.643,191.919,81.233)]",FALSE,,,,,,,
633.611,1.684,-4.052,4.052,2.328,"(0.0,0.0,38.017,38.017)","(595.594,595.594,633.611,633.611)","[(468.999,142.972,529.396,203.369),(460.811,113.512,514.549,167.25),(502.627,77.237,535.762,110.372),(537.271,41.573,593.478,97.78),(386.246,107.327,420.924,142.005),(413.92,297.487,458.208,341.775),(36.974,260.599,90.536,314.161),(82.915,159.471,132.237,208.793),(407.186,224.106,462.127,279.047),(475.417,391.226,520.137,435.946)]",FALSE,,,,,,,
197.904,0.857,-1.57,1.57,1.529,"(0.0,0.0,23.551,23.551)","(174.353,174.353,197.904,197.904)","[(2.568,154.713,20.083,172.228),(161.529,134.853,173.462,146.786),(149.217,44.836,166.574,62.193),(12.393,61.619,23.984,73.21),(79.361,178.072,91.455,190.166),(116.863,111.521,132.157,126.815),(8.672,40.294,26.9,58.522),(105.57,87.215,116.108,97.753),(78.631,151.695,89.045,162.109),(176.397,78.07,191.75,93.423),(14.929,141.574,32.638,159.283),(132.951,72.326,151.431,90.806),(175.644,11.857,187.275,23.488),(2.806,137.375,16.128,150.697)]",TRUE,,,,,,,
395.339,1.232,-2.695,2.695,1.904,"(0.0,0.0,57.719,57.719)","(337.62,337.62,395.339,395.339)","[(161.285,219.35,196.807,254.872),(305.567,334.047,339.964,368.444),(315.795,198.809,354.399,237.413),(114.489,121.039,137.391,143.941),(198.455,213.459,229.418,244.422),(65.535,348.549,99.49,382.504),(286.111,312.937,321.847,348.673),(62.394,338.264,96.524,372.394),(188.39,120.851,223.379,155.84),(352.399,201.402,379.958,228.961),(243.473,263.313,280.567,300.407),(103.595,292.111,142.528,331.044),(172.91,9.64,209.569,46.299)]",TRUE,,,,,,,
302.629,1.056,-2.167,2.167,1.562,"(0.0,0.0,30.263,30.263)","(272.366,272.366,302.629,302.629)","[(273.38,23.927,291.921,42.468),(228.12,257.517,243.304,272.701),(30.206,265.089,60.453,295.336),(242.684,57.465,263.801,78.582),(26.613,37.873,55.457,66.717),(272.361,33.53,298.049,59.218),(201.214,257.727,229.092,285.605),(18.34,40.401,41.377,63.438),(78.175,110.599,99.133,131.557),(240.294,66.329,257.432,83.467),(86.212,183.271,116.404,213.463)]",FALSE,,,,,,,
339.133,1.125,-2.375,2.375,1.841,"(0.0,0.0,42.731,42.731)","(296.402,296.402,339.133,339.133)","[(309.12,287.652,334.303,312.835),(15.061,119.417,34.538,138.894),(214.573,48.031,239.123,72.581),(216.79,225.79,246.133,255.133),(11.645,117.317,32.895,138.567),(75.897,128.78,103.111,155.994),(261.493,85.406,283.837,107.75),(53.047,179.008,86.392,212.353),(227.411,259.568,260.472,292.629),(224.888,293.612,242.176,310.9),(36.764,301.862,70.429,335.527),(2.559,179.557,20.828,197.826),(246.053,186.867,273.991,214.805)]",TRUE,,,,,,,
510.973,1.451,-3.354,3.354,2.17,"(0.0,0.0,61.828,61.828)","(449.145,449.145,510.973,510.973)","[(26.241,446.557,59.901,480.217),(85.587,367.317,121.961,403.691),(10.945,471.696,38.432,499.183),(243.725,322.429,282.447,361.151),(3.351,415.175,50.457,462.281),(281.21,144.014,312.788,175.592),(436.116,455.559,485.26,504.703),(108.261,372.175,139.206,403.12),(327.104,90.632,377.451,140.979),(461.065,406.588,490.922,436.445)]",FALSE,,,,,,,
